"label","area","perimeter","axis_major_length","sample","genotype","plant_num","side","rep_num","time"
6,223.71375,67.2598286118766,28.6255826339083,"Col-0 P2 abaxial_1","Col-0","P2","abaxial","1","week3"
7,216.7425,59.7752615051316,23.4082471816308,"Col-0 P2 abaxial_1","Col-0","P2","abaxial","1","week3"
8,289.940625,68.9214555828442,26.7821989540038,"Col-0 P2 abaxial_1","Col-0","P2","abaxial","1","week3"
9,307.36875,69.9522167673017,26.2473975349387,"Col-0 P2 abaxial_1","Col-0","P2","abaxial","1","week3"
10,379.299375,82.6311795926681,33.9201852229364,"Col-0 P2 abaxial_1","Col-0","P2","abaxial","1","week3"
11,281.385,70.3329779517592,27.9884510719221,"Col-0 P2 abaxial_1","Col-0","P2","abaxial","1","week3"
1,414.05,81.5080302527855,30.8428464942018,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
2,361.02625,79.7810749906155,31.147361200147,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
3,327.22625,79.0386868351903,33.838648519814,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
4,317.2975,68.4618361750729,25.4510022909019,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
5,314.7625,77.4176496605567,31.0151476243365,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
6,232.269375,66.8925973595304,27.1131097241985,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
7,479.643125,84.0945003206741,29.207597993674,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
8,249.591875,61.4098286118766,22.725209902257,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
9,467.601875,84.8830825538118,31.0841172094203,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
10,375.6025,75.277269068328,27.7853031097745,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
11,387.960625,82.4714817333574,32.4385631155027,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
12,416.268125,82.5714555828442,31.963188987943,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
13,406.761875,87.0234631460406,34.4082512677543,"Col-0 P2 abaxial_2","Col-0","P2","abaxial","2","week3"
1,320.783125,71.8695526217005,27.1084331698914,"Col-0 P2 adaxial_1","Col-0","P2","adaxial","1","week3"
2,272.618125,68.4945003206741,26.7672994795663,"Col-0 P2 adaxial_1","Col-0","P2","adaxial","1","week3"
3,356.484375,80.8580302527855,32.1288197870726,"Col-0 P2 adaxial_1","Col-0","P2","adaxial","1","week3"
4,334.40875,84.3637391362167,34.7888046228487,"Col-0 P2 adaxial_1","Col-0","P2","adaxial","1","week3"
5,152.628125,54.213634534164,22.4181106683231,"Col-0 P2 adaxial_1","Col-0","P2","adaxial","1","week3"
6,290.04625,71.8368884760993,28.7237008872431,"Col-0 P2 adaxial_1","Col-0","P2","adaxial","1","week3"
7,244.205,67.9771383157622,27.4490764965366,"Col-0 P2 adaxial_1","Col-0","P2","adaxial","1","week3"
8,307.685625,74.0099332139292,29.7173469087666,"Col-0 P2 adaxial_1","Col-0","P2","adaxial","1","week3"
1,216.848125,61.5348809129029,24.1792424516344,"Col-0 P2 adaxial_2","Col-0","P2","adaxial","2","week3"
2,330.8175,74.200313806158,28.4420040809279,"Col-0 P2 adaxial_2","Col-0","P2","adaxial","2","week3"
3,299.34125,68.1137391362167,25.8457970726015,"Col-0 P2 adaxial_2","Col-0","P2","adaxial","2","week3"
4,258.35875,69.9848809129029,28.0226422654733,"Col-0 P2 adaxial_2","Col-0","P2","adaxial","2","week3"
5,278.4275,66.969474170161,26.2005022679763,"Col-0 P2 adaxial_2","Col-0","P2","adaxial","2","week3"
6,307.896875,67.0367838740466,23.6977117568783,"Col-0 P2 adaxial_2","Col-0","P2","adaxial","2","week3"
7,350.569375,76.9118361750729,29.9696545838414,"Col-0 P2 adaxial_2","Col-0","P2","adaxial","2","week3"
8,269.871875,65.1656420973604,24.8813618428531,"Col-0 P2 adaxial_2","Col-0","P2","adaxial","2","week3"
1,505.09875,86.8195526217005,30.7776240107854,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
2,392.608125,79.400313806158,31.161758923374,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
3,331.556875,76.1638437382693,31.1914740797954,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
4,359.441875,76.7214555828442,29.6378601765184,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
5,335.25375,74.6925973595304,27.7663738805977,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
6,390.706875,74.3580302527855,25.1418511518938,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
7,249.591875,67.8309703885628,28.022676706527,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
8,455.455,84.600313806158,31.6492248558989,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
9,369.581875,76.577269068328,28.8203504987696,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
10,319.62125,66.8464032818179,22.325176118267,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
11,467.7075,87.9753661071843,33.8710228608579,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
12,437.07625,82.7618361750729,31.3305478732638,"Col-0 P3 abaxial_1","Col-0","P3","abaxial","1","week3"
1,440.561875,85.9791720294717,34.224270907426,"Col-0 P3 abaxial_2","Col-0","P3","abaxial","2","week3"
2,540.905625,88.9137391362167,30.7219694603516,"Col-0 P3 abaxial_2","Col-0","P3","abaxial","2","week3"
3,380.6725,78.100313806158,29.5892864279933,"Col-0 P3 abaxial_2","Col-0","P3","abaxial","2","week3"
4,567.20625,102.734985514956,41.5128226908434,"Col-0 P3 abaxial_2","Col-0","P3","abaxial","2","week3"
5,478.27,86.0253661071843,31.428291536024,"Col-0 P3 abaxial_2","Col-0","P3","abaxial","2","week3"
6,387.64375,75.277269068328,26.7148993982458,"Col-0 P3 abaxial_2","Col-0","P3","abaxial","2","week3"
7,367.046875,80.9368884760993,33.2332883611159,"Col-0 P3 abaxial_2","Col-0","P3","abaxial","2","week3"
8,441.406875,84.0753661071843,31.4928482058621,"Col-0 P3 abaxial_2","Col-0","P3","abaxial","2","week3"
9,362.505,78.2580302527855,29.7159655557887,"Col-0 P3 abaxial_2","Col-0","P3","abaxial","2","week3"
10,353.738125,80.1291720294717,31.9062670551359,"Col-0 P3 abaxial_2","Col-0","P3","abaxial","2","week3"
11,385.214375,82.9984108450142,32.9009154260623,"Col-0 P3 abaxial_2","Col-0","P3","abaxial","2","week3"
1,314.34,71.7445003206741,28.2575668609972,"Col-0 P3 adaxial_1","Col-0","P3","adaxial","1","week3"
2,360.286875,85.138791437243,34.7083979831547,"Col-0 P3 adaxial_1","Col-0","P3","adaxial","1","week3"
3,307.896875,69.4137391362167,26.3971689282575,"Col-0 P3 adaxial_1","Col-0","P3","adaxial","1","week3"
4,441.72375,92.8599332139292,37.9832190993689,"Col-0 P3 adaxial_1","Col-0","P3","adaxial","1","week3"
5,358.174375,81.2252615051316,33.8715835166187,"Col-0 P3 adaxial_1","Col-0","P3","adaxial","1","week3"
6,303.671875,70.2079256507328,25.5559751515775,"Col-0 P3 adaxial_1","Col-0","P3","adaxial","1","week3"
7,387.855,80.7791720294717,30.4643098678182,"Col-0 P3 adaxial_1","Col-0","P3","adaxial","1","week3"
8,303.883125,72.250313806158,28.8330286779283,"Col-0 P3 adaxial_1","Col-0","P3","adaxial","1","week3"
1,231.9525,64.0098286118766,24.9726796377354,"Col-0 P3 adaxial_2","Col-0","P3","adaxial","2","week3"
2,340.535,76.5310749906155,29.7314069555481,"Col-0 P3 adaxial_2","Col-0","P3","adaxial","2","week3"
3,286.8775,73.7868884760993,29.9171774771723,"Col-0 P3 adaxial_2","Col-0","P3","adaxial","2","week3"
4,245.05,69.9060226895891,28.6839574607056,"Col-0 P3 adaxial_2","Col-0","P3","adaxial","2","week3"
5,251.704375,71.7445003206741,29.9127717241346,"Col-0 P3 adaxial_2","Col-0","P3","adaxial","2","week3"
6,367.1525,76.5637391362167,29.3962717326921,"Col-0 P3 adaxial_2","Col-0","P3","adaxial","2","week3"
7,366.94125,77.369474170161,30.6251908784921,"Col-0 P3 adaxial_2","Col-0","P3","adaxial","2","week3"
8,263.111875,72.0925973595304,30.556469670758,"Col-0 P3 adaxial_2","Col-0","P3","adaxial","2","week3"
9,397.15,81.0484108450142,31.4882552987798,"Col-0 P3 adaxial_2","Col-0","P3","adaxial","2","week3"
10,348.879375,79.5906943983867,31.5968457145199,"Col-0 P3 adaxial_2","Col-0","P3","adaxial","2","week3"
11,291.841875,68.6060226895891,26.5055541992504,"Col-0 P3 adaxial_2","Col-0","P3","adaxial","2","week3"
1,419.12,76.800313806158,27.7194556515422,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
2,204.70125,55.1328733497065,19.5959561914874,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
3,385.003125,78.2445003206741,27.0647509229868,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
4,364.723125,74.2656420973604,26.2410148672284,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
5,372.116875,72.2176496605568,22.6714673715554,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
6,433.0625,81.696429432331,29.4576110325479,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
7,595.196875,98.454224330498,36.1277216601008,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
8,181.46375,54.2598286118766,20.6583927787167,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
9,412.043125,75.6906943983867,24.098062304029,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
10,443.308125,82.4137391362167,29.5003322874703,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
11,439.4,87.6734631460406,34.1265056997039,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
12,431.689375,81.4849332139292,29.5377656215861,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
13,174.598125,48.902112165249,16.5114725450625,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
14,355.639375,71.6329779517592,23.1124440475177,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
15,164.035625,48.7443957186215,16.239517767478,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
16,412.676875,76.6752615051316,25.155167790563,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
17,268.604375,63.2945003206742,21.9086887400853,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
18,506.683125,90.9561272916418,34.4858953355706,"RIC P1 abaxial_1","RIC","P1","abaxial","1","week3"
1,388.2775,78.5464032818179,29.1516597040502,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
2,231.635625,58.5867838740466,21.5276910299248,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
3,216.848125,56.1771644662754,19.7430654967507,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
4,375.81375,74.7714555828442,27.7493828700209,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
5,501.824375,88.7504184082106,32.2218022550876,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
6,504.993125,87.3253661071843,31.0089140987179,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
7,369.89875,72.6964032818179,24.1004157039126,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
8,407.92375,77.0695526217005,26.6878526544207,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
9,378.031875,74.7714555828442,26.9433455316506,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
10,283.70875,69.4137391362167,26.2744304655326,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
11,348.5625,70.3194480196478,22.7603559037926,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
